;Marker Coordinate File
   X(um)    Y(um)     Z(um)  Marker Diameter
1  8086.03 -1394.18  -415.80     1.65
1  8115.73 -1346.33  -419.10     1.65
1  8092.63 -1367.78  -419.10     1.65
1  8110.78 -2167.78  -415.80     1.65
1  8100.88 -2200.78  -419.10     1.65
1  8884.38 -2200.78  -409.20     1.65
1  8818.38 -3023.88  -415.80     1.65
1  8059.63 -2938.08  -412.50     1.65
1  5671.18 -2957.88  -412.50     1.65
1  5611.78 -3025.53  -409.20     1.65
1  5689.33 -2974.38  -419.10     1.65
1  5661.28 -3766.13  -412.50     1.65
1  5681.08 -3752.93  -409.20     1.65
1  5714.08 -3809.03  -409.20     1.65
1  5727.28 -3856.88  -415.80     1.65
1  5694.28 -3736.43  -412.50     1.65
1  5634.88 -3741.38  -412.50     1.65
1  5636.53 -3825.53  -415.80     1.65
1  7271.18 -4543.03  -409.20     1.65
1  7238.18 -4655.23  -409.20     1.65
1  6438.18 -4613.98  -415.80     1.65
1  6504.18 -4569.43  -415.80     1.65
1  5644.78 -4584.28  -412.50     1.65
1  5618.38 -4605.73  -409.20     1.65
1  5621.68 -4547.98  -412.50     1.65
1  5610.13 -4561.18  -412.50     1.65
1  5621.68 -4653.58  -419.10     1.65
1 12230.08 -8270.31  -462.00     1.65
1 11466.02 -9916.04  -468.60     1.65
1 10715.52 -10719.35  -465.30     1.65
1  1824.76 -11545.75  -465.30     1.65
1  1818.16 -11464.90  -468.60     1.65
1  5082.51 -11504.50  -458.70     1.65
1  5808.26 -11478.10  -465.30     1.65
1  7477.56 -11532.54  -462.00     1.65
1  9103.96 -11572.15  -462.00     1.65
1  9877.57 -11529.25  -462.00     1.65
1  9915.52 -11512.75  -462.00     1.65
1  9857.77 -11568.85  -468.60     1.65
1  9844.57 -11488.00  -468.60     1.65
1  9808.27 -11455.00  -468.60     1.65
1  4209.91 -12258.29  -462.00     1.65
1  4251.16 -12292.95  -468.60     1.65
1  1874.26 -12274.79  -458.70     1.65
1  8959.65 -1214.12  -458.70     1.65
1  8181.10 -1219.07  -465.30     1.65
1  5771.20 -1191.02  -462.00     1.65
1  5746.45 -1987.72  -468.60     1.65
1  8204.21 -2019.07  -462.00     1.65
1  8167.90 -2012.47  -458.70     1.65
1  8202.55 -2771.22  -458.70     1.65
1  5800.90 -2764.62  -462.00     1.65
1  5040.50 -2858.67  -462.00     1.65
1  4977.80 -2873.52  -462.00     1.65
1  4962.95 -3658.67  -462.00     1.65
1  5019.05 -3696.62  -468.60     1.65
1  5014.10 -3592.67  -465.30     1.65
1  5035.55 -3592.67  -465.30     1.65
1  5792.65 -3699.92  -465.30     1.65
1  8169.55 -3591.02  -458.70     1.65
1  7427.30 -4420.72  -468.60     1.65
1  6642.15 -5263.62  -462.00     1.65
1  6549.75 -5258.67  -458.70     1.65
1 12179.27 -8486.34  -518.10     1.65
1 11305.02 -10084.69  -508.20     1.65
1  8898.42 -10916.04  -514.80     1.65
1  7344.62 -10846.74  -511.50     1.65
1  6556.17 -10912.74  -518.10     1.65
1  6541.32 -10892.94  -518.10     1.65
1  2571.02 -11651.69  -511.50     1.65
1  3334.72 -11648.39  -514.80     1.65
1  4923.17 -11702.84  -518.10     1.65
1  5751.22 -11633.54  -514.80     1.65
1  5751.22 -11732.54  -514.80     1.65
1  7379.27 -11669.84  -508.20     1.65
1  7394.12 -11704.49  -514.80     1.65
1  7372.67 -11610.44  -514.80     1.65
1  8194.12 -11656.64  -511.50     1.65
1  8131.42 -11732.54  -518.10     1.65
1  8951.22 -11712.74  -511.50     1.65
1  8969.37 -11706.14  -518.10     1.65
1  4941.32 -12431.89  -508.20     1.65
1  4942.97 -12507.79  -511.50     1.65
1  4995.77 -12436.84  -514.80     1.65
1  4909.97 -12471.49  -514.80     1.65
1  4999.07 -12534.19  -514.80     1.65
1  4151.22 -12497.89  -514.80     1.65
1  2569.37 -12445.09  -514.80     1.65
1  2495.12 -12486.34  -514.80     1.65
1  2557.82 -12514.39  -514.80     1.65
1  2618.87 -12516.04  -511.50     1.65
1  1812.27 -12405.49  -514.80     1.65
1  8895.27 -1484.26  -518.10     1.65
1  8062.27 -1495.81  -514.80     1.65
1  7996.27 -1436.41  -514.80     1.65
1  8030.92 -1451.26  -514.80     1.65
1  7978.12 -1525.51  -511.50     1.65
1  5604.52 -1509.01  -514.80     1.65
1  5592.97 -1566.76  -518.10     1.65
1  5652.37 -2310.66  -514.80     1.65
1  5611.12 -2272.71  -508.20     1.65
1  5685.37 -2261.16  -518.10     1.65
1  5645.77 -2264.46  -511.50     1.65
1  8057.32 -2363.46  -514.80     1.65
1  8796.27 -2247.96  -514.80     1.65
1  8027.62 -3137.06  -511.50     1.65
1  7999.57 -3036.41  -514.80     1.65
1  5574.82 -3064.46  -514.80     1.65
1  5675.47 -3153.56  -511.50     1.65
1  5591.32 -3135.41  -518.10     1.65
1  5578.12 -3917.26  -514.80     1.65
1  5588.02 -3937.06  -518.10     1.65
1  5677.12 -3951.91  -518.10     1.65
1  5670.52 -3894.16  -518.10     1.65
1  8054.02 -3907.36  -511.50     1.65
1  8022.67 -3915.61  -511.50     1.65
1  8042.47 -4697.46  -511.50     1.65
1  7994.62 -4720.56  -514.80     1.65
1  7270.52 -4657.86  -514.80     1.65
1  6485.37 -4644.66  -514.80     1.65
1  6386.37 -4629.81  -518.10     1.65
1  5685.37 -4704.06  -514.80     1.65
1  9431.38 -10606.51  -561.00     1.65
1  8606.63 -11383.42  -561.00     1.65
1  7687.83 -11409.81  -561.00     1.65
1  7806.63 -11383.42  -557.70     1.65
1  6122.48 -11447.76  -567.60     1.65
1  6135.68 -11388.37  -567.60     1.65
1  5352.18 -11459.31  -557.70     1.65
1  2175.28 -12219.71  -564.30     1.65
1  2152.18 -12292.31  -561.00     1.65
1  2958.78 -12267.56  -564.30     1.65
1  3786.83 -12280.76  -561.00     1.65
1  4517.53 -12305.51  -561.00     1.65
1  5320.83 -12242.81  -557.70     1.65
1  5325.78 -12280.76  -564.30     1.65
1  8785.10 -1593.37  -561.00     1.65
1  7920.75 -1692.37  -564.30     1.65
1  7976.85 -1649.47  -557.70     1.65
1  7962.00 -1616.47  -557.70     1.65
1  7930.65 -3305.57  -564.30     1.65
3 12676.11 -5844.85  -122.10     1.65
3 11854.66 -7421.75  -112.20     1.65
3 11882.71 -7515.80  -108.90     1.65
3 11777.11 -7515.80  -115.50     1.65
3 11095.91 -7464.65  -115.50     1.65
3  2188.66 -8345.50  -122.10     1.65
3 10274.46 -8343.85  -118.80     1.65
3 10248.06 -8299.30  -122.10     1.65
3 10203.51 -8315.80  -122.10     1.65
3 11015.06 -8258.05  -115.50     1.65
3 10988.66 -8251.45  -118.80     1.65
3 11066.21 -8307.55  -118.80     1.65
3 10215.06 -9130.65  -122.10     1.65
3  4392.26  -881.68  -118.80     1.65
3 10017.01 -1638.78  -115.50     1.65
3  9988.96 -1671.78  -115.50     1.65
3  9969.16 -1658.58  -115.50     1.65
3  9979.06 -1721.28  -115.50     1.65
3  9167.51 -2447.03  -115.50     1.65
3  9134.51 -2517.98  -112.20     1.65
3  9174.11 -2481.68  -112.20     1.65
3 10010.41 -2456.93  -118.80     1.65
3 10035.16 -2455.28  -108.90     1.65
3  9970.81 -2544.38  -118.80     1.65
3  9245.06 -3280.03  -118.80     1.65
3  9142.76 -3321.28  -122.10     1.65
3  9212.06 -4035.48  -122.10     1.65
3  9195.56 -4020.63  -122.10     1.65
3  6757.61 -5627.23  -122.10     1.65
3  5189.24 -1090.11  -168.30     1.49
3  5271.74 -1098.36  -161.70     1.49
3  5273.39 -1106.61  -161.70     1.49
3  5164.49 -1103.31  -161.70     1.49
3  4404.09 -1004.31  -165.00     1.49
3  4450.29 -1057.11  -158.40     1.49
3  4361.19 -1093.41  -171.60     1.49
3  4394.19 -1857.11  -168.30     1.49
3  4371.09 -1909.91  -161.70     1.49
3  4465.14 -1843.91  -161.70     1.49
3  4456.89 -1860.41  -165.00     1.49
3  4422.24 -1781.21  -165.00     1.49
3  4420.59 -1799.36  -168.30     1.49
3  5143.04 -1852.16  -165.00     1.49
3  5141.39 -1787.81  -168.30     1.49
3  9987.59 -1908.26  -171.60     1.49
3  9966.14 -1888.46  -171.60     1.49
3 10066.79 -1838.96  -161.70     1.49
3  4412.34 -2615.86  -168.30     1.49
3  3638.74 -2668.66  -165.00     1.49
3  4382.64 -3528.06  -165.00     1.49
3  4339.74 -3500.01  -161.70     1.49
3  4392.54 -3458.76  -161.70     1.49
